INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
552;BAHIA;SANTANOPOLIS;1412438
553;BAHIA;SANTA TERESINHA;1764352
554;BAHIA;SANTO AMARO;8009958
555;BAHIA;SANTO ANTONIO DE JESUS;9298909
556;BAHIA;SANTO ESTEVAO;7454331
557;BAHIA;SAO DESIDERIO;3538307
558;BAHIA;SAO FELIX;1919648
559;BAHIA;SAO FELIPE;2965662
560;BAHIA;SAO FRANCISCO DO CONDE;3588506
561;BAHIA;SAO GONCALO DOS CAMPOS;4128224
562;BAHIA;SAO MIGUEL DAS MATAS;1566224
563;BAHIA;SAO SEBASTIAO DO PASSE;5372851
564;BAHIA;SAPEACU;2560499
565;BAHIA;SATIRO DIAS;3282609
566;BAHIA;SAUDE;2183542
567;BAHIA;SEABRA;6964099
568;BAHIA;SEBASTIAO LARANJEIRAS;1737076
569;BAHIA;SENHOR DO BONFIM;10004300
570;BAHIA;SENTO SE;7279743
571;BAHIA;SERRA DOURADA;2994152
572;BAHIA;SERRA PRETA;2834646
573;BAHIA;SERRINHA;8630463
574;BAHIA;SERROLANDIA;2119015
575;BAHIA;SIMOES FILHO;11830826
576;BAHIA;SOUTO SOARES;3213824
577;BAHIA;TABOCAS DO BREJO VELHO;2211612
578;BAHIA;TANHACU;3036497
579;BAHIA;TANQUINHO;1171554
580;BAHIA;TAPEROA;3445060
581;BAHIA;TAPIRAMUTA;2634528
582;BAHIA;TEODORO SAMPAIO;1285215
583;BAHIA;TEOFILANDIA;4049652
584;BAHIA;TEOLANDIA;2646348
585;BAHIA;TERRA NOVA;2023432
586;BAHIA;TREMEDAL;3100569
587;BAHIA;TUCANO;9450947
588;BAHIA;UAUA;4439103
589;BAHIA;UBAIRA;3115000
590;BAHIA;UBAITABA;3533371
591;BAHIA;UBATA;3085816
592;BAHIA;UIBAI;2525394
593;BAHIA;UNA;4669815
594;BAHIA;URANDI;2522906
595;BAHIA;URUCUCA;3599893
596;BAHIA;UTINGA;3389599
597;BAHIA;VALENCA;11747227
598;BAHIA;VALENTE;3422473
599;BAHIA;VARZEA DO POCO;1447392
600;BAHIA;VERA CRUZ;6200343
601;BAHIA;VITORIA DA CONQUISTA;29190122
602;BAHIA;WAGNER;1428018
603;BAHIA;WENCESLAU GUIMARAES;4463176
604;BAHIA;XIQUE-XIQUE;8771585
605;BAHIA;LAPAO;4645831
606;BAHIA;MAETINGA;1281497
607;BAHIA;MANSIDAO;2195381
608;BAHIA;NORDESTINA;2323591
609;BAHIA;PE DE SERRA;2631618
610;BAHIA;PINTADAS;1702125
611;BAHIA;RAFAEL JAMBEIRO;4305333
612;BAHIA;SANTA LUZIA;2074575
613;BAHIA;SAO GABRIEL;3786108
614;BAHIA;TANQUE NOVO;2574711
615;BAHIA;TEIXEIRA DE FREITAS;12930619
616;BAHIA;VARZEA NOVA;2445626
617;BAHIA;VARZEA DA ROCA;2692629
618;BAHIA;WANDERLEY;2088494
619;BAHIA;JABORANDI;1583813
620;CEARÁ;CATUNDA;1837920
621;CEARÁ;JIJOCA DE JERICOACOARA;2559851
622;CEARÁ;FORTIM;2376023
623;CEARÁ;ARARENDA;2047892
